text1	text2	label
右肱骨外髁骨折神经损伤	上肢神经损伤	1
右内踝及距骨内侧骨软骨缺损伴游离体形成	踝关节内游离体	1
运动发育迟缓歌舞伎综合症	歌舞伎面谱综合征[Kabuki综合征]	1
颈椎硬膜外血肿伴不全瘫	硬膜外血肿	1
高血压病(左房扩大)	左房扩大	1
腹膜后及腹腔内多发稍大淋巴结	腹腔淋巴结肿大	1
"""乳腺癌改良根治术后,化疗,骨转移,骨质疏松,肝转移,肝损伤"""	骨继发恶性肿瘤	1
多发胸椎骨质破坏性质	骨质破坏	1
获得性凝血功能障碍维生素K依赖性	维生素K缺乏	1
消化系统合并症：①慢性非萎缩性胃炎伴胆汁反流（轻度）②十二指肠炎③Barrett食管④肝右叶多发小囊肿⑤肝右叶钙化灶	肝囊肿	1
右耳蜂蜇伤	耳部损伤	1
臀部软组织尤文肉瘤	臀部恶性肿瘤	1
宫颈癌术后化疗后复查	恶性肿瘤化学治疗后的随诊检查	1
特指手术后状态(右肝癌术后)	其他特指的手术后状态	1
左足透明细胞肉瘤反复复发术后	透明细胞肉瘤	1
右侧颞叶及基底节区脑出血	颞叶出血	1
慢性萎缩性胃炎并糜烂	慢性萎缩性胃炎	1
宫内早孕	妊娠状态	1
"""右侧乳腺癌术后 化疗,重度骨质疏松骨折 消肿止痛,右锁骨上淋巴结转移,关节痛，失眠"""	重度骨质疏松	1
多发子宫肌瘤	子宫多发性平滑肌瘤	1
左桡骨、腕骨骨折	桡骨骨折	1
热水烫伤面颈部双上肢躯干7%TBSAⅡ	沸水烫伤	1
西医1神经症2脑后循环缺血	未特指的神经症性障碍	1
肝内外胆管结石并急性胆管炎	急性胆管炎	1
可疑恶性肿瘤观察高CEACa19-9血症	CA199升高	1
C6-7脊髓内脱髓鞘改变	脱髓鞘性脊髓病	1
食管下端溃疡型低分化癌（pT3	癌	1
"""行动不便,SLE，,上呼吸道感染、发热、咳嗽咳痰,咽痛,慢性便秘,高脂血症,高血压,预防血栓,肝肾阴虚、腰膝酸软"""	高脂血症	1
左下肢左髋骶尾部压迫性溃疡	压疮	1
"""直肠癌 盆腔淋巴结转移,术前放化疗"""	盆腔淋巴结继发恶性肿瘤	1
神经元特异性烯醇化酶轻度升高	肿瘤标记物升高	1
"""肺癌晚期术后复发放疗低硒,咯血,疼痛,咳嗽,恶心,呕吐"""	癌	1
特指再生障碍性贫血	其他特指的再生障碍性贫血	1
椎基底A供血不足胃黏膜撕裂症	椎-基底动脉供血不全	1
急性粒细胞白血病MCR2	急性粒细胞性白血病	1
新生儿卵圆孔未闭20mm转归其他	卵圆孔未闭	1
左侧椎动脉动脉供血不足	椎-基底动脉供血不全	1
左臂部恶性黑素瘤	恶性黑色素瘤	1
肝曲横结肠管状腺瘤低级别局灶高级别	结肠肝曲良性肿瘤	1
癌细胞侵入胰腺组织并侵及十二指肠粘膜	癌	1
肾造瘘术后(左)	肾造口状态	1
原发性支气管肺癌(左上肺 鳞癌可能 cT4N0M1(骨 )	左肺上叶恶性肿瘤	1
右上肺低分化神经内分泌癌	右肺上叶恶性肿瘤	1
发热;上呼吸道感染?;泌尿道感染?	发热	1
心律失常窦性心动过缓	心律失常	1
左侧口角撕裂伤伴组织缺损	唇和口腔开放性损伤	1
热水烫伤躯干右股TBSA7%深Ⅱ度	下肢烫伤	1
绝经后子宫	绝经期	1
急性胆囊炎胆囊结石急性胃炎	急性胆囊炎	1
扩张型心脏病酒精性心脏病可能性大	酒精性心肌病	1
腺瘤甲状腺	腺瘤	1
肝肝细胞异型增生胆管增生	胆道不典型增生	1
下咽后壁乳头状瘤	乳头状瘤	1
原发性支气管肺癌(左肺腺癌 cT3N1M1a(胸膜) IVA期 EGFR野生型 HER-2(E20第771-774杂合性	左肺恶性肿瘤	1
包皮过长伴粘连	包皮过长	1
右下牙龈高分化鳞状细胞癌	牙龈恶性肿瘤	1
口唇干燥	口干	1
"""高血压病,高血压病，抑郁症"""	高血压	1
肌酶增高查因肌酶增高查因肌酶增高查因	肌酸激酶增高	1
肾小球肾炎丙肝携带高血压肝损害	肝损害	1
左肾透明细胞癌术后多发骨转移	肾术后	1
子宫内膜粘液腺癌	子宫内膜恶性肿瘤	1
右肺腺癌术后化疗放疗后，脑M，CT显示复发。	恶性肿瘤复发	1
右侧胫前动脉中下段左侧胫后动脉不全闭塞	胫后动脉闭塞	1
颈椎间盘C23膨出并椎管C56狭窄	颈椎管狭窄	1
退变髓核组织伴钙盐沉积	钙质沉着症	1
"""随诊检查,恶性肿瘤手术后(食管癌，喉癌)"""	食管恶性肿瘤	1
G1P1孕41周已产LO	正常分娩	1
十二指肠球部狭窄并不全梗阻	不完全性肠梗阻	1
右侧腹股沟疖肿	腹股沟脓肿	1
上纵隔异常密度影	其他特指身体结构诊断性影像检查的异常所见	1
肝硬化腹水，胸水	胸腔积液	1
"""胰腺癌放疗,肝转移? 血小板降低,化疗，食欲差"""	胰腺恶性肿瘤	1
宫颈原位鳞状细胞癌	鳞状细胞癌	1
外阴BOWEN’S病宫颈CIN3级	子宫颈上皮内瘤变III级[CINIII级]	1
结肠癌并肠梗阻	肠梗阻	1
肠系膜血管炎	血管炎[脉管炎]	1
粒细胞缺乏伴肺部感染	粒细胞缺乏	1
W55x00被其他哺乳动物咬伤或抓伤	"""被其他哺乳动物咬伤或抓伤,在未特指场所"""	1
慢性萎缩性胃炎伴肠化	肠上皮化生	1
右肾盂输尿管占位	输尿管占位性病变	1
"""右上肺肿物,肺癌"""	肺肿物	1
4慢性肺心病心功能3级	心功能III级(NYHA分级)	1
宫颈鳞癌ⅢB期放化疗后	子宫颈恶性肿瘤	1
特发性斑疹毛细血管扩张	毛细血管扩张症	1
大腿软组织肉瘤	下肢恶性肿瘤	1
慢性肾功能衰竭;急性肾损害;防冻液中毒，中毒性脑病	防冻液中毒	1
胃食管连接处慢性炎	食管炎	1
脑病待诊	脑病[器质性脑病]	1
盆腔包块（1.卵巢囊肿2.其他）	盆腔肿物	1
右中下肺炎	肺炎	1
结肠腺癌	结肠恶性肿瘤	1
双乳多发腺瘤	乳腺良性肿瘤	1
左胸积液胸水结核性	结核性胸腔积液	1
右肾结石伴肾积水	肾积水伴肾结石	1
骨关节病;坐骨神经痛肌肉关节酸痛行动不便	肌痛	1
胃食管结合部癌综合治疗后吻合口复发	食管胃连接部恶性肿瘤	1
分娩伴会阴裂伤Ⅰ度	分娩伴会阴裂伤	1
右眼裂小待查	睑裂狭小	1
走路不稳双手无力原因待查格林巴利综合征	肌无力	1
右肺上叶大细胞癌免疫治疗	右肺上叶恶性肿瘤	1
甲状腺低分化癌	甲状腺恶性肿瘤	1
右侧胸膜增厚伴钙化	胸膜钙化	1
过敏性浮肿	过敏反应	1
面部皮肤擦伤	面部擦伤	1
手裂伤伴感染	手部开放性损伤	1
外伤，支气管炎	支气管炎	1
皮内型色素痣	皮内痣	1
言语错乱	言语障碍	1
非创伤性颅内出血后遗症	非创伤性颅内出血	1
左上肺周围型低分化腺癌纵隔淋巴结转移 上呼吸道感染	腺癌	1
右下颌骨成釉细胞瘤	下颌骨良性肿瘤	1
左乳腺癌术前化疗	乳腺恶性肿瘤	1
胸椎脊柱旁占位	脊柱占位	1
二性症发育不佳	第二性征发育不全	1
内侧关节室OA骨梗死	骨坏死	1
肩痹;咳嗽	咳嗽	1
学习困难.铅高	铅中毒	1
右屈肘总肌腱止点撕脱性骨折	肘关节骨折	1
股骨骨肉瘤	股骨恶性肿瘤	1
阴道不全纵膈	阴道纵隔	1
腹胀痛	腹胀	1
色素沉着原因待查扁平苔藓	扁平苔癣	1
脑动脉瘤包裹术后	脑动脉瘤	1
子宫颈癌IIB	子宫颈恶性肿瘤	1
"""2型糖尿病,冠状动脉粥样硬化性心脏病,2型糖尿病性周围循环并发症,糖尿病性肾病"""	2型糖尿病性肾病	1
右乳上象限浸润性导管癌	浸润性导管癌	1
右尺桡骨粉碎性骨折	桡骨骨折	1
阑尾开口横结肠管状腺瘤	横结肠良性肿瘤	1
D1萌出乳牙未脱落	乳牙滞留	1
副脾8低白蛋白血症	低蛋白血症	1
"""阴道炎,要求取环,月经不调,痛经,子宫腺肌症,盆腔炎"""	阴道炎	1
恶心纳差待查	恶心	1
胃食管连接处慢性炎	胃炎	1
"""右肺癌术后疼痛免疫功能,咳血抗过敏维生素不足叶酸不足,行动不便便秘重度疼痛抗过敏化疗,口腔溃疡高血压,化疗呕吐食欲减退"""	食欲不振	1
甲状腺压迫综合症	颈交感神经麻痹[霍纳综合征]	1
轻度抑郁伴躯体化功能障碍	伴有躯体症状的轻度抑郁发作	1
鼻咽癌肺转移、骨转移术后	鼻咽恶性肿瘤	1
"""右肺下叶低分化癌骨转移 淋巴结转移 IV期,双肺多发小结节性质待查"""	癌	1
前臂肌肉扭伤	身体未特指部位的脱位、扭伤和劳损	1
L1L2椎体骨质破坏伴L1椎体压缩性改变	腰椎压缩性骨折	1
右下肺鳞术后（pT4N2M0	右肺下叶恶性肿瘤	1
